19221229,省令,大正十一年司法省令第四十五号,大正十一年司法省令第四十五号（信託表示簿及日附アル印章調製方）
19230608,省令,大正十二年逓信省令第五十二号,大正十二年逓信省令第五十二号（船舶積量互認ノ件ニ関シ帝国政府ト英国政府トノ間ニ取極ヲ為シタル条規）
19231207,省令,大正十二年大蔵省令第三十号,恩給金額分担及国庫納金収入等事務取扱細則
19231220,省令,大正十二年内務省・鉄道省令,軌道法施行規則
19231229,省令,大正十二年内務省令第四十五号,専用軌道規則
19231229,省令,大正十二年鉄道省令第四号,軌道運輸規程
19231229,省令,大正十二年鉄道省令第六号,軌道係員規程
19231229,省令,大正十二年内務省・鉄道省令第一号,軌道建設規程
19240213,省令,大正十三年大蔵省令第三号,六分半利付米貨公債発行規程
19240213,省令,大正十三年大蔵省令第四号,六分利付英貨公債発行規程
19251201,省令,大正十四年逓信省令第八十七号,大正十四年逓信省令第八十七号（仏蘭西国船舶ノ検査ニ関スル件）
19260625,省令,大正十五年逓信省令第二十四号,大正十五年逓信省令第二十四号（船舶満載吃水線証書互認ノ件ニ関シ帝国政府ト丁抹国政府トノ間ニ為シタル取極ニ関スル件）
19260701,省令,大正十五年内務省令第三十六号,健康保険法施行規則
19261021,閣令,大正十五年閣令第六号,位階令施行細則
19270509,省令,昭和二年大蔵省令第十二号,日本銀行特別融通及損失補償法第一条ニ依ル特別融通ニ関スル規程
19270528,省令,昭和二年司法省令第十六号,陪審法施行規則
19290601,省令,昭和四年逓信省令第十七号,昭和四年逓信省令第十七号（船舶積量ニ関シ独逸国船舶取扱ニ関スル件）
19300326,省令,昭和五年逓信省・鉄道省令,鉄道船舶通シ運送規則
19300512,省令,昭和五年大蔵省令第九号,五分半利付英貨公債発行規程
19310629,省令,昭和六年大蔵省令第二十三号,無尽業法施行細則
19310718,省令,昭和六年司法省令第二十二号,抵当証券法施行細則
19310728,省令,昭和六年大蔵省令第二十七号,昭和六年大蔵省令第二十七号（特別会計ノ恩給負担金ヲ一般会計ニ繰入ルルコトニ関スル法律施行事務取扱細則）
19330601,省令,昭和八年農林省令第九号,「タラバ」蟹類採捕取締規則
19330731,省令,昭和八年農林省・大蔵省・内務省令第〇号,農村負債整理組合法施行規則
19330930,省令,昭和八年司法省令第三十三号,自動車交通事業財団抵当登記取扱手続
19331220,省令,昭和八年司法省令第三十八号,昭和八年司法省令第三十八号（手形法第八十三条及小切手法第六十九条ノ規定ニ依ル手形交換所ヲ指定スル省令）
19331223,省令,昭和八年逓信省令第五十一号,国際信号旗ノ寸法ニ関スル件
19340201,省令,昭和九年逓信省令第六号,船舶設備規程
19340205,省令,昭和九年逓信省・農林省令,漁船特殊規則
19340205,省令,昭和九年逓信省・農林省令第一号,漁船特殊規程
