19310328,法律|政令,昭和六年法律第九号,昭和六年法律第九号（特別会計ニ於ケル営繕費ニ関スル法律）
19310330,法律|政令,昭和六年法律第十五号,抵当証券法
19310401,法律|政令,昭和六年法律第四十二号,無尽業法
19320701,法律|政令,昭和七年法律第十六号,昭和七年法律第十六号（国債ノ価額計算ニ関スル法律）
19320715,法律|政令,昭和七年法律第二十号,手形法
19330315,法律|政令,昭和八年法律第十一号,船舶安全法
19330329,法律|政令,昭和八年法律第二十一号,農村負債整理組合法
19330329,法律|政令,昭和八年法律第三十号,農業動産信用法
19330401,法律|政令,昭和八年法律第四十二号,昭和八年法律第四十二号（身元保証ニ関スル法律）
19330729,法律|政令,昭和八年法律第五十七号,小切手法
19370331,法律|政令,昭和十二年法律第二十五号,森林保険法
19380402,法律|政令,昭和十三年法律第七十一号,陸上交通事業調整法
19390406,法律|政令,昭和十四年法律第七十三号,船員保険法
19430311,法律|政令,昭和十八年法律第四十三号,金融機関の信託業務の兼営等に関する法律
19430315,法律|政令,昭和十八年法律第六十一号,昭和十八年法律第六十一号（占領地軍政官憲ノ為シタル行為ノ法律上ノ効力等ニ関スル法律）
19440210,法律|政令,昭和十九年法律第四号,昭和十九年法律第四号（経済関係罰則ノ整備ニ関スル法律）
19451220,法律|政令,昭和二十年法律第四十六号,昭和二十年法律第四十六号（戦時民事特別法廃止法律）
19460815,法律|政令,昭和二十一年法律第六号,金融機関経理応急措置法
19460815,法律|政令,昭和二十一年法律第七号,会社経理応急措置法
19460925,法律|政令,昭和二十一年法律第二十四号,昭和二十一年法律第二十四号（法人に対する政府の財政援助の制限に関する法律）
19460927,法律|政令,昭和二十一年法律第二十五号,労働関係調整法
19461019,法律|政令,昭和二十一年法律第三十九号,金融機関再建整備法
19461019,法律|政令,昭和二十一年法律第四十号,企業再建整備法
19461103,憲法,昭和二十一年憲法,日本国憲法
19461118,法律|政令,昭和二十一年法律第五十六号,大蔵省預金部等損失特別処理法
19470116,法律|政令,昭和二十二年法律第三号,皇室典範
19470116,法律|政令,昭和二十二年法律第四号,皇室経済法
19470116,法律|政令,昭和二十二年法律第五号,内閣法
19470313,法律|政令,昭和二十二年法律第十三号,請願法
19470328,法律|政令,昭和二十二年法律第二十号,恩赦法
19470331,法律|政令,昭和二十二年法律第二十六号,学校教育法
19470331,法律|政令,昭和二十二年法律第三十四号,財政法　抄
19470331,法律|政令,昭和二十二年法律第三十五号,会計法
19470331,法律|政令,昭和二十二年法律第四十二号,昭和二十二年法律第四十二号（公債金特別会計法外四法律の廃止等に関する法律）　抄
19470407,法律|政令,昭和二十二年法律第四十九号,労働基準法
19470407,法律|政令,昭和二十二年法律第五十号,労働者災害補償保険法
19470412,法律|政令,昭和二十二年法律第五十三号,昭和二十二年法律第五十三号（社寺等に無償で貸し付けてある国有財産の処分に関する法律）
19470414,法律|政令,昭和二十二年法律第五十四号,昭和二十二年法律第五十四号（私的独占の禁止及び公正取引の確保に関する法律）
19470416,法律|政令,昭和二十二年法律第五十九号,裁判所法
19470416,法律|政令,昭和二十二年法律第六十号,裁判所法施行法
19470416,法律|政令,昭和二十二年法律第六十一号,検察庁法
19470417,法律|政令,昭和二十二年法律第六十三号,下級裁判所の設立及び管轄区域に関する法律
19470417,法律|政令,昭和二十二年法律第六十七号,地方自治法
19470418,法律|政令,昭和二十二年法律第七十号,宮内庁法
19470418,法律|政令,昭和二十二年法律第七十二号,昭和二十二年法律第七十二号（日本国憲法施行の際現に効力を有する命令の規定の効力等に関する法律）
19470419,法律|政令,昭和二十二年法律第七十三号,会計検査院法
19470430,法律|政令,昭和二十二年法律第七十九号,国会法
19470430,法律|政令,昭和二十二年法律第八十号,国会議員の歳費、旅費及び手当等に関する法律
19470430,法律|政令,昭和二十二年法律第八十一号,議院に出頭する証人等の旅費及び日当に関する法律
19470430,法律|政令,昭和二十二年法律第八十二号,昭和二十二年法律第八十二号（国会予備金に関する法律）
19470430,法律|政令,昭和二十二年法律第八十三号,議院事務局法
19470430,法律|政令,昭和二十二年法律第八十五号,国会職員法
19470901,法律|政令,昭和二十二年法律第百号,船員法
19470905,法律|政令,昭和二十二年法律第百一号,地域保健法
19470920,法律|政令,昭和二十二年法律第百九号,昭和二十二年法律第百九号（生命保険中央会及び損害保険中央会の保険業務に関する権利義務の承継等に関する法律）
19470926,法律|政令,昭和二十二年法律第百十一号,昭和二十二年法律第百十一号（皇族の身分を離れた者及び皇族となつた者の戸籍に関する法律）
19471002,法律|政令,昭和二十二年法律第百十三号,皇室経済法施行法
19471015,法律|政令,昭和二十二年法律第百十七号,昭和二十二年法律第百十七号（裁判所予備金に関する法律）
19471018,法律|政令,昭和二十二年法律第百十八号,災害救助法
19471021,法律|政令,昭和二十二年法律第百二十号,国家公務員法
19471021,法律|政令,昭和二十二年法律第百二十一号,昭和二十二年法律第百二十一号（国家公務員法の規定が適用せられるまでの官吏の任免等に関する法律）
19471027,法律|政令,昭和二十二年法律第百二十五号,国家賠償法
